,song,artist,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Like a Rolling Stone,Bob Dylan,spotify:track:3AhXZa8sUQht0UEdBJgpGc,0.482,0.721,-6.839,0.0321,0.731,0.0,0.189,0.557,95.263
1,Smells Like Teen Spirit,Nirvana,spotify:track:3oTlkzk1OtrhH8wBAduVEi,0.485,0.863,-9.027,0.0495,1.22e-05,0.0162,0.138,0.767,116.835
2,A Day In The Life - Remastered,The Beatles,spotify:track:3ZFBeIyP41HhnALjxWy1pR,0.364,0.457,-14.162,0.0675,0.29,0.000106,0.922,0.175,163.219
3,Good Vibrations (Mono),The Beach Boys,spotify:track:5Qt4Cc66g24QWwGP3YYV9y,0.398,0.413,-10.934,0.0388,0.0822,2.54e-05,0.0891,0.331,133.574
4,Johnny B Goode,Chuck Berry,spotify:track:7MH2ZclofPlTrZOkPzZKhK,0.518,0.756,-10.851,0.0915,0.735,6.2e-05,0.317,0.968,166.429
5,Respect,Aretha Franklin,spotify:track:7s25THrKz86DM225dOYwnr,0.805,0.558,-5.226,0.041,0.164,2.2e-05,0.0546,0.965,114.95
6,Be My Baby,The Ronettes,spotify:track:2G2YzndIA6jeWFPBXhUjh5,0.511,0.769,-7.032,0.042,0.181,0.0,0.0921,0.818,129.657
7,What's Going On,Marvin Gaye,spotify:track:0UAu4pJ44T9X2AmaUh1hHO,0.282,0.716,-9.632,0.0985,0.451,0.0,0.399,0.83,201.958
8,I Heard It Through The Grapevine,Marvin Gaye,spotify:track:27m1soUndRthrAA1ediOXn,0.729,0.324,-13.017,0.0393,0.195,0.0,0.101,0.679,116.855
9,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,The Rolling Stones,spotify:track:7fSGbZLhWlAiCC3HDPAULu,0.725,0.853,-7.842,0.0353,0.0348,0.127,0.196,0.904,136.282
10,Billie Jean,Michael Jackson,spotify:track:5ChkMS8OtdzJeqyybCc9R5,0.92,0.654,-3.051,0.0401,0.0236,0.0158,0.0359,0.847,117.046
11,Heartbreak Hotel,Elvis Presley,spotify:track:3T99MhhnbWTqo0Bj5lyuP8,0.688,0.223,-11.476,0.0619,0.849,2.1e-06,0.0974,0.701,93.551
12,Born to Run,Bruce Springsteen,spotify:track:4mC6yZvp9zfzp21IuLAPGD,0.253,0.868,-9.773,0.073,0.0511,0.0,0.214,0.68,146.647
13,My Generation - Original Mono Version,The Who,spotify:track:6UdCTwbVAvNqbWyZKZiRWL,0.332,0.822,-6.558,0.0988,0.165,9.33e-05,0.161,0.745,96.253
14,Love Will Tear Us Apart,Joy Division,spotify:track:2JO3HwMRPeya8bXbtbyPcf,0.443,0.956,-6.198,0.0511,5.24e-05,0.825,0.135,0.909,146.754
15,God Only Knows - Mono / 1997 Remastered,The Beach Boys,spotify:track:6iGU74CwXuT4XVepjc9Emf,0.521,0.487,-7.525,0.0299,0.253,0.0,0.0579,0.483,117.072
16,(Sittin' On) the Dock of the Bay,Otis Redding,spotify:track:4Y4Gd3ty8uut6Qw43c7yJc,0.484,0.312,-13.522,0.0535,0.724,1.65e-06,0.0601,0.598,205.981
17,Hey Ya! - Radio Mix / Club Mix,Outkast,spotify:track:5WQ1hIc5d2EVbRQ8qsj8Uh,0.719,0.967,-2.435,0.0552,0.0588,0.000249,0.206,0.964,79.505
18,Anarchy In The UK - Remastered 2012,Sex Pistols,spotify:track:3JS4Guc7Hld2JomrBybQIt,0.359,0.949,-7.649,0.101,0.0556,0.000396,0.236,0.212,134.118
19,Paper Planes,M.I.A.,spotify:track:5QlGALr14YMN0xIDmIwleg,0.541,0.854,-6.196,0.155,0.0254,0.000125,0.651,0.454,86.044
20,London Calling,The Clash,spotify:track:5BXoDYim9Upsv8dsuSJQPa,0.653,0.797,-6.958,0.048,0.0738,0.0,0.0847,0.726,133.725
21,Sympathy For The Devil,The Rolling Stones,spotify:track:4sFbojhVXQv7dBC9PVCcRn,0.566,0.673,-10.814,0.306,0.565,1.13e-06,0.0438,0.583,114.385
22,Strawberry Fields Forever - Remastered,The Beatles,spotify:track:5EuraV2jbqB15ihd3d2Hex,0.39,0.502,-12.277,0.178,0.336,0.000138,0.0713,0.289,97.871
23,Tutti Frutti,Little Richard,spotify:track:3Os0VNtvEnRFlXSK5dvOFu,0.532,0.591,-3.81,0.0591,0.782,0.0,0.0647,0.962,184.4
24,Stairway To Heaven,Led Zeppelin,spotify:track:0AJ62x1CXjJf3VW25CeZXa,0.346,0.335,-12.453,0.0339,0.575,0.00674,0.185,0.213,84.204
25,The Message (feat. Melle Mel & Duke Bootee),Grandmaster Flash & The Furious Five,spotify:track:5DuTNKFEjJIySAyJH1yNDU,0.947,0.607,-10.58,0.202,0.0249,4.76e-06,0.0861,0.732,100.619
26,What'd I Say,Ray Charles & Friends,spotify:track:21WrPeWVmWWBAx0dXYck9L,0.506,0.618,-11.278,0.0708,0.657,2.31e-05,0.248,0.789,89.023
27,Imagine - Remastered 2010,John Lennon,spotify:track:7pKfPomDEeI4TPT6EOYjn9,0.547,0.257,-12.358,0.0252,0.907,0.183,0.0935,0.169,75.752
28,A Change Is Gonna Come,Sam Cooke,spotify:track:0RFKuagqUgR4X8C1QneCCq,0.214,0.4,-10.042,0.0342,0.756,0.0,0.325,0.508,169.683
29,Heroes - 1999 Remaster,David Bowie,spotify:track:5j6ZZwA9BnxZi5Bk0Ng4jB,0.478,0.774,-6.977,0.0292,0.000265,0.585,0.191,0.429,112.577
30,When Doves Cry,Prince,spotify:track:51H2y6YrNNXcy3dfc3qSbA,0.729,0.989,-4.613,0.049,0.0102,4.45e-05,0.443,0.84,126.47
31,Superstition,Stevie Wonder,spotify:track:1kryOQS9FQDsbYY4db5zS5,0.609,0.657,-11.496,0.0695,0.0308,0.00221,0.071,0.872,100.607
32,Common People,Pulp,spotify:track:0LEoCPq4QlV2h41Fm5ENJ3,0.319,0.839,-7.341,0.0404,0.00596,7.99e-05,0.0764,0.538,144.938
33,Gimme Shelter,The Rolling Stones,spotify:track:1dv3ePjze9tPq2pk8eWJdR,0.63,0.616,-8.128,0.0309,0.463,0.0408,0.173,0.509,118.65
34,Strange Fruit,Billie Holiday,spotify:track:2sq8Rz7pspqExxUF0gPaJ7,0.304,0.104,-15.835,0.0313,0.963,0.000291,0.177,0.0608,81.02
35,You Really Got Me,The Kinks,spotify:track:4CZn7RvBSLun4ropg0UNZV,0.571,0.908,-8.208,0.0907,0.412,1.19e-06,0.0802,0.958,137.43
36,Crazy In Love (feat. Jay-Z),Beyoncé,spotify:track:5IVuqXILoxVWvWEPm82Jxr,0.646,0.77,-6.596,0.226,0.00249,0.0,0.0715,0.681,99.165
37,Seven Nation Army,The White Stripes,spotify:track:3m6KkYKdnbffMpGd9Pm9FP,0.745,0.466,-7.62,0.0864,0.00666,0.35,0.272,0.303,123.889
38,Losing My Religion,R.E.M.,spotify:track:74EV0g12ihUoOUXMprFpZB,0.672,0.841,-5.992,0.0285,0.0767,0.0,0.135,0.82,125.437
39,God Save The Queen,Sex Pistols,spotify:track:2mHchPRtQWet3iIS3jANr1,0.304,0.901,-7.756,0.0602,0.00105,0.000376,0.158,0.541,147.199
40,Bohemian Rhapsody - Remastered 2011,Queen,spotify:track:1AhDOtG9vPSOmsWgNW0BEY,0.414,0.404,-9.928,0.0499,0.271,0.0,0.3,0.224,71.105
41,Blue Monday,New Order,spotify:track:6tzeMSH4TRGBTzdNvbF5hr,0.757,0.758,-7.873,0.0512,0.00708,0.831,0.112,0.918,130.505
42,Purple Haze,Jimi Hendrix,spotify:track:0wJoRiX5K5BxlqZTolB2LD,0.533,0.905,-5.27,0.0754,0.00876,0.578,0.0698,0.486,108.9
43,Louie Louie,The Kingsmen,spotify:track:0iA3xXSkSCiJywKyo1UKjQ,0.623,0.709,-9.818,0.0636,0.102,0.0,0.0967,0.948,122.394
44,I Want You Back,The Jackson 5,spotify:track:3b0EOvScbZUc0qJx0E1L2z,0.639,0.548,-13.534,0.0394,0.29,9.68e-05,0.366,0.887,98.359
45,Crazy,Gnarls Barkley,spotify:track:1vxw6aYJls2oq3gW0DujAo,0.855,0.587,-4.589,0.0336,0.0505,0.00714,0.105,0.64,111.97
